# family: gcc
# compiler: g++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
library,filter_type,order,method,max_b_err,max_a_err,max_step_err
constfilt,elliptic,21,zoh,3.984715e+03,9.566242e+04,1.573972e+40
constfilt,elliptic,22,zoh,1.263675e+05,1.767974e+05,3.716205e+57
constfilt,elliptic,23,zoh,2.185632e+05,3.311239e+05,2.191663e+126
constfilt,elliptic,24,zoh,5.520564e+05,6.240750e+05,6.813895e+67
constfilt,elliptic,25,zoh,3.056802e+04,1.164686e+06,1.793896e+81
constfilt,elliptic,2,matchedz,7.094325e-14,2.220446e-15,3.674838e-14
constfilt,elliptic,3,matchedz,8.326673e-17,1.332268e-15,5.995204e-15
constfilt,elliptic,4,matchedz,2.081668e-17,1.776357e-15,1.265654e-14
constfilt,elliptic,5,matchedz,5.273559e-16,2.664535e-15,6.417089e-14
constfilt,elliptic,6,matchedz,1.387779e-16,1.065814e-14,6.633583e-13
constfilt,elliptic,7,matchedz,3.053113e-16,1.421085e-14,5.662693e-12
constfilt,elliptic,8,matchedz,9.714451e-17,7.105427e-15,4.297585e-11
constfilt,elliptic,9,matchedz,1.332268e-15,2.842171e-14,2.001617e-09
constfilt,elliptic,10,matchedz,1.842970e-14,7.105427e-14,2.879873e-09
constfilt,elliptic,11,matchedz,5.817569e-14,2.842171e-13,2.570186e-07
constfilt,elliptic,12,matchedz,1.980638e-13,1.023182e-12,1.288231e-06
constfilt,elliptic,13,matchedz,3.730349e-14,2.273737e-13,3.528564e-05
constfilt,elliptic,14,matchedz,2.414957e-12,8.640200e-12,1.942135e-03
constfilt,elliptic,15,matchedz,8.693490e-12,1.955414e-11,1.314235e-02
constfilt,elliptic,16,matchedz,1.488942e-11,7.003109e-11,1.772301e-01
constfilt,elliptic,17,matchedz,6.963319e-13,1.818989e-12,1.803631e+00
constfilt,elliptic,18,matchedz,3.699299e-10,1.507942e-09,4.757342e+00
constfilt,elliptic,19,matchedz,2.444267e-12,7.275958e-11,2.374666e+02
constfilt,elliptic,20,matchedz,4.675087e-09,1.896842e-08,3.685270e+03
constfilt,elliptic,21,matchedz,3.307832e-08,6.715709e-08,2.522298e+04
constfilt,elliptic,22,matchedz,2.993545e-08,1.196750e-07,2.195603e+06
constfilt,elliptic,23,matchedz,1.318767e-11,9.313226e-10,2.207499e+08
